name	mondo	mesh
idiopathic infertility	MONDO:5047	
refractory celiac disease	MONDO:18353	
pneumonia	MONDO:0005249	
anorexia nervosa	MONDO:0005351	
coronary heart disease	MONDO:5010	
rosacea	MONDO:0006604	
kidney stone with hypertension	MONDO:8171	
liver fibrosis	MONDO:100430	
psoriatic arthritis	MONDO:0011849	
traumatic brain injury	MONDO:0858950	
infective colitis	MONDO:6039	
alcoholism	MONDO:7079	
type 1 diabetes	MONDO:5147	
halitosis		MESH:D006209
psoriasis	MONDO:0005083	
copd exacerbation	MONDO:5002	
hirschsprung's disease	MONDO:0018309	
aphthous stomatitis	MONDO:0004845	
azoospermia	MONDO:0100459	
otitis media	MONDO:0005441	
stomach cancer	MONDO:0001056	
pulmonary tubercolosis	MONDO:6052	
seminal hyperviscosity	MONDO:4767	
biliary atresia	MONDO:0008867	
chronic stress		MESH:D013312
h1n1 influenza	MONDO:5812	
kidney stone	MONDO:8171	
pelvic inflammatory disease	MONDO:0000922	
non-alcoholic fatty liver disease	MONDO:4790	
genitourinary lichen sclerosus	MONDO:6491	
hiv infection	MONDO:5109	
autoimmune polyendocrine syndrome type 1	MONDO:0009411	
helicobacter pylori infection	MONDO:6781	
bronchiolitis	MONDO:0002465	
cytolytic vaginosis	MONDO:5316	
adolescent idiopathic scoliosis	MONDO:5488	
prostate cancer	MONDO:0008315	
viral diarrhea	MONDO:1517	
chronic rhinosinusitis with cystic fibrosis	MONDO:6031	
bullous pemphigoid	MONDO:0019082	
late-onset sepsis	MONDO:700217	
sarcopenia		MESH:D055948
clostridium difficile associated disease	MONDO:24388	
endometrial cancer	MONDO:0011962	
pregnancy		MESH:D037841
primary sclerosing cholangitis-ibd	MONDO:13433	
allergic rhinoconjunctivitis	MONDO:13180	
pancreatitis	MONDO:0004982	
hashimoto's thyroiditis	MONDO:7699	
attention deficit hyperactivity disorder	MONDO:0005302	
hyperglycemia	MONDO:0002909	
edentulism		MESH:D009066
miscarriage		MESH:D000022
chronic rhinosinusitis with nasal polyps	MONDO:6031	
alzheimer's disease	MONDO:0004975	
blepharitis	MONDO:0004785	
intestinal metaplasia	MONDO:100190	
preterm birth		MESH:D007234
gastric carcinoma	MONDO:4950	
drug-resistant epilepsy	MONDO:5027	
chronic fatigue syndrome	MONDO:0005404	
aphthous ulcer	MONDO:5318	
chronic mucocutaneous candidiasis	MONDO:0015279	
diabetic nephropathy	MONDO:5016	
bleeding gum	MONDO:20782	
periodontal abscess	MONDO:2635	
acute cerbral infarction	MONDO:2679	
bacterial vaginosis	MONDO:0005316	
arsenic exposure	MONDO:23305	
laryngeal carcinoma	MONDO:0002358	
atrial fibrillation	MONDO:0004981	
diverticular disease	MONDO:1674	
recurrent miscarriage		MESH:D000026
excessive vomiting		MESH:D014839
clonorchis sinensis infection	MONDO:5705	
pervasive developmental disorder nos	MONDO:594	
cervicitis	MONDO:0002345	
graves' orbitopathy	MONDO:5364	
crohn's disease	MONDO:0005011	
vulvar vestibulitis syndrome	MONDO:21722	
megaesophagus	MONDO:0001656	
neuropathic bladder	MONDO:19395	
anovulation	MONDO:0002775	
cervical intraneoplasia	MONDO:22394	
spinal cord injury	MONDO:43797	
alopecia areata	MONDO:0005340	
spleen deficiency syndrome		
hepatocellular cancer	MONDO:7256	
maturity-onset diabetes of the young 2	MONDO:7453	
fibromyalgia	MONDO:0005546	
rett syndrome	MONDO:0010726	
orofacial granulomatosis	MONDO:12105	
chronic ocular graft-versus-host disease	MONDO:13730	
pouchitis	MONDO:5312	
hepatitis b	MONDO:0005344	
gastrointestinal follicular lymphoma	MONDO:4699	
chronic liver disease	MONDO:100193	
chronic prostatitis / chronic pelvic pain syndrome	MONDO:22103	
t2d with hypertension and hyperlipidemia	MONDO:5148	
cirrhosis with pneumonia	MONDO:5155	
x-linked inhibitor of apoptosis deficiency	MONDO:10385	
gestational diabetes + hyperlipidemia	MONDO:5406	
cognitive impairment	MONDO:13680	
cardiac valve calcification	MONDO:5463	
autism spectrum disorders	MONDO:5258	
liver transplant		MESH:D016031
chronic pancreatitis	MONDO:5003	
denture stomatitis	MONDO:0006723	
keratitis	MONDO:0003085	
infant colic		MESH:D003085
human end-stage renal disease	MONDO:4375	
type 2 diabetes	MONDO:5148	
inflammatory bowel disease	MONDO:0005265	
acute skin abscess	MONDO:21201	
pancreatic cancer	MONDO:0009831	
inactive crohn's disease	MONDO:5011	
chlamydia	MONDO:0005701	
chronic urticaria	MONDO:0850230	
enthesitis-related arthritis	MONDO:19437	
coronary artery disease	MONDO:0005010	
oral potentially malignant disorder	MONDO:6858	
bipolar disorder	MONDO:0004985	
acne	MONDO:0011438	
hepatic encephalopathy	MONDO:0001711	
urolithiasis	MONDO:0024647	
opisthorchis felineus infection	MONDO:5884	
nasolacrimal duct obstruction	MONDO:7871	
major depressive disorder	MONDO:0002009	
hyperthyroidism	MONDO:0004425	
cervical cancer	MONDO:0002974	
graves' disease	MONDO:0005364	
clostridium difficile infection	MONDO:24388	
autism	MONDO:5260	
alcoholic cirrhosis	MONDO:6644	
severe fever with thrombocytopenia syndrome	MONDO:7883	
breast cancer	MONDO:0007254	
ischemic stroke	MONDO:18585	
severe congenital neutropenia	MONDO:0018542	
gastroenteritis	MONDO:0002269	
pancreatic head cancer	MONDO:9831	
radiation enteritis	MONDO:43459	
gingivitis	MONDO:0002508	
microscopic colitis	MONDO:0000702	
antrochoanal polyps	MONDO:5079	
e-smoking		MESH:D012907
hypopharyngeal cancer	MONDO:5216	
lower respiratory tract infection	MONDO:24355	
systemic lupus erythematosus	MONDO:0007915	
chronic alcoholic pancreatitis	MONDO:3232	
posttraumatic stress syndrome	MONDO:5146	
iron-deficiency anaemia	MONDO:1356	
obesity	MONDO:0011122	
asthma	MONDO:0004979	
macular degeneration	MONDO:0003004	
nongonococcal urethritis	MONDO:5297	
cutaneous burn	MONDO:43519	
aerobic vaginitis	MONDO:2234	
acute lymphoblastic leukemia	MONDO:0004967	
cystic fibrosis exacerbation	MONDO:9061	
functional dyspepsia	MONDO:2268	
recurrent aphthous stomatitis	MONDO:4845	
bladder cancer	MONDO:1187	
vogt-koyagani-harada disease		MESH:D014607
multiple system atrophy	MONDO:0007803	
primary biliary cholangitis	MONDO:0005388	
urgency urinary incontinence	MONDO:6624	
polycystic ovary syndrome	MONDO:0008487	
invasive colorectal cancer	MONDO:5575	
henoch-schönlein purpura	MONDO:19167	
primary sclerosing cholangitis	MONDO:0013433	
atopic wheeze		MESH:D012135
ulcerative colitis	MONDO:0005101	
h7n9	MONDO:5812	
down syndrome	MONDO:0008608	
chronic rhinosinusitis	MONDO:6031	
conjunctival scarring	MONDO:1174	
infantile eczema	MONDO:4980	
tongue cancer	MONDO:0004631	
aggressive periodontitis	MONDO:0008226	
neuro-behcet's disease	MONDO:7191	
dry eye syndrome	MONDO:0006733	
wilson's disease	MONDO:10200	
diaper dermatitis	MONDO:2406	
extrinsic black stain		
disease-free		MESH:D018572
atopy	MONDO:5202	
primary open-angle glaucoma	MONDO:5338	
periodontitis	MONDO:0005076	
shiga toxin-producing e. coli infection	MONDO:20920	
hepatitis c	MONDO:0005231	
normal weight obesity		MESH:D009765
